candidate_course_label,candidate_jurisdiction,physical_venue_name,locality,region,country,latitude,longitude,iana_timezone,location_evidence,location_validation_status,raw_course_labels,provisional_races,meeting_dates,earliest_date,latest_date
Newcastle (AW),Great Britain,Newcastle Racecourse,Newcastle upon Tyne,England,United Kingdom,55.0308459,-1.6007838,Europe/London,"Nominatim conservative automatic selection from query 'Newcastle racecourse, United Kingdom'; selected result index 0.",automatically_validated,Newcastle (AW),4012,534,2016-05-17,2025-10-14
Newmarket,Great Britain,Newmarket Racecourse,East Cambridgeshire,England,United Kingdom,52.2359409,0.3672961,Europe/London,"Nominatim conservative automatic selection from query 'Newmarket racecourse, United Kingdom'; selected result index 0.",automatically_validated,Newmarket,1423,194,2015-04-15,2025-10-11
Newmarket (July),Great Britain,Newmarket Racecourse,East Cambridgeshire,England,United Kingdom,52.2359409,0.3672961,Europe/London,"Nominatim conservative automatic selection from query 'Newmarket racecourse, United Kingdom'; selected result index 0.",automatically_validated,Newmarket (July),1438,208,2015-06-19,2025-08-23
Newton Abbot,Great Britain,,,,,,,Europe/London,,unassigned,Newton Abbot,1169,172,2015-03-25,2025-09-29
Nottingham,Great Britain,Nottingham Racecourse,Nottingham,England,United Kingdom,52.9493459,-1.1064123,Europe/London,"Nominatim conservative automatic selection from query 'Nottingham racecourse, United Kingdom'; selected result index 0.",automatically_validated,Nottingham,1582,222,2015-04-08,2025-10-08
Perth,Great Britain,,,,,,,Europe/London,,unassigned,Perth,1049,149,2015-04-22,2025-09-25
Plumpton,Great Britain,Plumpton Racecourse,Lewes,England,United Kingdom,50.9249449,-0.0616538,Europe/London,"Nominatim conservative automatic selection from query 'Plumpton racecourse, United Kingdom'; selected result index 0.",automatically_validated,Plumpton,1067,161,2015-01-04,2025-09-21
Pontefract,Great Britain,Pontefract Racecourse,Wakefield,England,United Kingdom,53.7010623,-1.3387318,Europe/London,"Nominatim conservative automatic selection from query 'Pontefract racecourse, United Kingdom'; selected result index 0.",automatically_validated,Pontefract,1134,161,2015-04-07,2025-10-06
Redcar,Great Britain,Redcar Racecourse,Redcar,England,United Kingdom,54.6047468,-1.0646978,Europe/London,"Nominatim conservative automatic selection from query 'Redcar racecourse, United Kingdom'; selected result index 0.",automatically_validated,Redcar,1311,173,2015-04-06,2025-10-04
Ripon,Great Britain,Ripon Racecourse,Ripon,England,United Kingdom,54.1205773,-1.4951507,Europe/London,"Nominatim conservative automatic selection from query 'Ripon racecourse, United Kingdom'; selected result index 0.",automatically_validated,Ripon,1164,172,2015-04-16,2025-09-27
Salisbury,Great Britain,Salisbury Racecourse,Coombe Bissett,England,United Kingdom,51.0540002,-1.8566179,Europe/London,"Nominatim conservative automatic selection from query 'Salisbury racecourse, United Kingdom'; selected result index 0.",automatically_validated,Salisbury,1119,158,2015-05-03,2025-10-02
Sandown,Great Britain,Sandown Racecourse,Elmbridge,England,United Kingdom,51.3767195,-0.3568281,Europe/London,"Nominatim conservative automatic selection from query 'Sandown racecourse, United Kingdom'; selected result index 0.",automatically_validated,Sandown,1631,244,2015-01-03,2025-09-17
Sedgefield,Great Britain,,,,,,,Europe/London,,unassigned,Sedgefield,1199,177,2015-01-06,2025-10-08
Southwell,Great Britain,Southwell Racecourse,Newark and Sherwood,England,United Kingdom,53.0688782,-0.9072298,Europe/London,"Nominatim conservative automatic selection from query 'Southwell racecourse, United Kingdom'; selected result index 0.",automatically_validated,Southwell,1307,188,2015-02-22,2025-10-02
