candidate_course_label,candidate_jurisdiction,provisional_races,decision,decision_reason,physical_venue_name,iana_timezone,requests_sent,requests_reused
Belterra Park,United States,6,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Hawthorne,United States,6,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Durtal,France,5,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Marseille Pont-de-Vivaux,France,5,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Senonnes-Pouance,France,5,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Tarbes,France,5,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Vaal,South Africa,5,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
La Zarzuela,Spain,5,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous.",,,0,3
Albury,Australia,4,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Echuca,Australia,4,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Wellington,Australia,4,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Northlands park,Canada,4,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Le Mans,France,4,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Les Sables-d'Olonne,France,4,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Saint-Brieuc,France,4,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Salon-de-Provence,France,4,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Matamata,New Zealand,4,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Te aroha,New Zealand,4,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Louisiana Downs,United States,4,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Seymour,Australia,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Corlay,France,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Granville-St Pair Sur Mer,France,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Le Pin au Haras,France,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Magdeburg,Germany,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Kincsem Park,Hungary,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Pisa,Italy,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Kanazawa,Japan,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Pukekohe Park,New Zealand,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Pukekura Raceway,New Zealand,3,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
