candidate_course_label,candidate_jurisdiction,exact_query,result_index,provider_place_id,provider_name,provider_display_name,country_code_match,course_name_match,racecourse_name_match,provider_object_match,suspicious_name_match,automatic_eligible,provider_class,provider_type,course_decision,decision_reason
Maronas,Uruguay,"Maronas hipódromo, Uruguay",1,relation:12855941,Pista del Hipódromo de Maroñas,"Pista del Hipódromo de Maroñas, Ignacio Bazzano, Marconi, Ituzaingó, Montevideo, 12300, Uruguay",True,True,True,True,False,True,leisure,track,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Maronas,Uruguay,"Maronas hipodromo, Uruguay",0,relation:6295746,Hipodromo Nacional de Maroñas,"Hipodromo Nacional de Maroñas, Ignacio Bazzano, Marconi, Ituzaingó, Montevideo, 12300, Uruguay",True,True,True,True,False,True,leisure,stadium,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Maronas,Uruguay,"Maronas hipodromo, Uruguay",1,relation:12855941,Pista del Hipódromo de Maroñas,"Pista del Hipódromo de Maroñas, Ignacio Bazzano, Marconi, Ituzaingó, Montevideo, 12300, Uruguay",True,True,True,True,False,True,leisure,track,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Pau,France,"Pau hippodrome, France",0,node:6123622482,France Literie,"France Literie, 10, Mail de l'Hippodrome, Zone d'Activité du Mail, Lons, Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, Metropolitan France, 64140, France",True,False,False,False,False,False,shop,bed,manual_review_required,No returned object passed every conservative automatic acceptance check.
Trentham,New Zealand,"Trentham racecourse, New Zealand",0,way:29016733,Trentham Racecourse,"Trentham Racecourse, Trentham, Upper Hutt, Upper Hutt City, Wellington, New Zealand",True,True,True,False,False,False,landuse,recreation_ground,manual_review_required,No returned object passed every conservative automatic acceptance check.
Veliefendi,Turkey,"Veliefendi hipodromu, Turkey",0,way:83097065,Veliefendi Hipodromu,"Veliefendi Hipodromu, Ekrem Kurt Bulvarı, Osmaniye Mahallesi, Bakırköy, Istanbul, Marmara Region, 34146, Turkey",True,True,False,True,False,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Fukushima,Japan,"Fukushima racecourse, Japan",0,node:257522930,Fukushima Racecourse,"Fukushima Racecourse, Asahicho, Shinobuyama, Fukushima, Fukushima Prefecture, 960-8131, Japan",True,True,True,False,False,False,highway,traffic_signals,manual_review_required,No returned object passed every conservative automatic acceptance check.
Kembla Grange,Australia,"Kembla Grange racecourse, Australia",0,node:1945518035,Kembla Grange,"Kembla Grange, West Dapto Road, Kembla Grange, Wollongong, New South Wales, 2526, Australia",True,True,False,False,False,False,railway,halt,manual_review_required,No returned object passed every conservative automatic acceptance check.
Ovrevoll,Norway,"Ovrevoll galoppbane, Norway",0,way:27662030,Øvrevoll galoppbane,"Øvrevoll galoppbane, Eilins vei, Eiksmarka, Østerås, Bærum, Akershus, 0750, Norway",True,False,True,True,False,False,leisure,stadium,manual_review_required,No returned object passed every conservative automatic acceptance check.
Ovrevoll,Norway,"Ovrevoll galoppbane, Norway",1,node:6465581112,Øvrevoll galoppbane,"Øvrevoll galoppbane, Bråtastien, Toppås, Eiksmarka, Østerås, Bærum, Akershus, 1359, Norway",True,False,True,False,False,False,leisure,pitch,manual_review_required,No returned object passed every conservative automatic acceptance check.
Ohi,Japan,"Ohi racecourse, Japan",0,way:14948284,Oi Racecourse,"Oi Racecourse, Kaigan Street, Katsushima 2, Katsushima, Shinagawa, Tokyo, 140-0012, Japan",True,False,True,True,False,False,leisure,stadium,manual_review_required,No returned object passed every conservative automatic acceptance check.
Krefeld,Germany,"Krefeld rennbahn, Germany",0,node:12137694319,WaldCafé Krefeld Stadtwald,"WaldCafé Krefeld Stadtwald, An der Rennbahn, Stadtwald, Bockum, Krefeld-Ost, Krefeld, North Rhine-Westphalia, 47800, Germany",True,True,False,False,False,False,amenity,restaurant,manual_review_required,No returned object passed every conservative automatic acceptance check.
Charles town,United States,"Charles town racetrack, United States",0,way:158620516,Hollywood Casino at Charles Town Races - Parking Garage,"Hollywood Casino at Charles Town Races - Parking Garage, Racetrack Street, Ranson, Jefferson County, West Virginia, 25438, United States",True,True,False,False,True,False,amenity,parking,manual_review_required,No returned object passed every conservative automatic acceptance check.
Prairie Meadows,United States,"Prairie Meadows racetrack, United States",0,way:16017085,Prairie Meadows Drive,"Prairie Meadows Drive, Prairie Meadows Racetrack and Casino, Altoona, Polk County, Iowa, 50009, United States",True,True,False,False,False,False,highway,unclassified,manual_review_required,No returned object passed every conservative automatic acceptance check.
Prairie Meadows,United States,"Prairie Meadows racetrack, United States",1,node:5369136921,Prairie Meadows Hotel,"Prairie Meadows Hotel, 1, Prairie Meadows Drive, Prairie Meadows Racetrack and Casino, Altoona, Polk County, Iowa, 50009, United States",True,True,False,False,True,False,tourism,hotel,manual_review_required,No returned object passed every conservative automatic acceptance check.
Launceston,Australia,"Launceston racecourse, Australia",0,way:114513090,Launceston Plaza,"Launceston Plaza, Racecourse Crescent, Launceston, Tasmania, 7250, Australia",True,True,False,False,False,False,shop,mall,manual_review_required,No returned object passed every conservative automatic acceptance check.
Launceston,Australia,"Launceston racecourse, Australia",1,way:320439686,Launceston Tennis Centre,"Launceston Tennis Centre, Racecourse Crescent, Launceston, Tasmania, 7250, Australia",True,True,False,True,False,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Launceston,Australia,"Launceston racecourse, Australia",2,way:87220590,Launceston Indoor Sports Arena,"Launceston Indoor Sports Arena, Racecourse Crescent, Launceston, Tasmania, 7250, Australia",True,True,False,True,False,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Sunshine Coast,Australia,"Sunshine Coast racecourse, Australia",0,way:818610269,RoadTek Sunshine Coast,"RoadTek Sunshine Coast, Racecourse Road, Sunshine Coast Industrial Park, Corbould Park, Queensland, 4551, Australia",True,True,False,False,False,False,building,industrial,manual_review_required,No returned object passed every conservative automatic acceptance check.
Funabashi,Japan,"Funabashi racecourse, Japan",0,way:723265360,Funabashi Racecourse,"Funabashi Racecourse, Prefectural Road 8, 宮本九丁目, Funabashi, Chiba Prefecture, 273-8501, Japan",True,True,True,True,False,True,leisure,sports_centre,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Funabashi,Japan,"Funabashi racecourse, Japan",1,relation:5899297,Funabashi Racecourse,"Funabashi Racecourse, Tokyo Wangan Road, 若松一丁目, Funabashi, Chiba Prefecture, 273-8501, Japan",True,True,True,True,False,True,leisure,track,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Riccarton Park,New Zealand,"Riccarton Park racecourse, New Zealand",0,node:8178827581,Riccarton Park Racecourse,"Riccarton Park Racecourse, Yaldhurst Road, Russley, Christchurch, Christchurch City, Canterbury, 8042, New Zealand",True,True,True,False,False,False,man_made,tower,manual_review_required,No returned object passed every conservative automatic acceptance check.
Mountaineer Park,United States,"Mountaineer Park racetrack, United States",0,way:336953819,"Mountaineer Casino, Racetrack and Resort","Mountaineer Casino, Racetrack and Resort, Ohio River Boulevard, Brownsdale Mobile Home Park, Grant District, Hancock County, West Virginia, 43968, United States",True,False,True,False,True,False,tourism,attraction,manual_review_required,No returned object passed every conservative automatic acceptance check.
Mountaineer Park,United States,"Mountaineer Park racetrack, United States",1,way:336953821,"Mountaineer Casino, Racetrack and Resort","Mountaineer Casino, Racetrack and Resort, Ohio River Boulevard, Brownsdale Mobile Home Park, Grant District, Hancock County, West Virginia, 43968, United States",True,False,True,False,True,False,amenity,casino,manual_review_required,No returned object passed every conservative automatic acceptance check.
Bendigo,Australia,"Bendigo racecourse, Australia",0,way:352041222,Bendigo Racecourse,"Bendigo Racecourse, Roper Terrace, Epsom, Bendigo, Victoria, 3551, Australia",True,True,True,True,False,True,leisure,sports_centre,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Bendigo,Australia,"Bendigo racecourse, Australia",1,relation:5253674,Bendigo Racecourse,"Bendigo Racecourse, Roper Terrace, Epsom, Bendigo, Victoria, 3551, Australia",True,True,True,True,False,True,leisure,track,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Seoul,South Korea,"Seoul racecourse, South Korea",0,node:355173088,Seoul Racecourse Park,"Seoul Racecourse Park, Gyeongmagongwon-daero, Gwacheon-dong, Gwacheon-si, Gyeonggi, 13823, South Korea",True,True,True,False,False,False,railway,station,manual_review_required,No returned object passed every conservative automatic acceptance check.
Seoul,South Korea,"Seoul racecourse, South Korea",1,node:6035746726,Seoul Racecourse park,"Seoul Racecourse park, Gyeongmagongwon-daero, Gwacheon-dong, Gwacheon-si, Gyeonggi, 13823, South Korea",True,True,True,False,False,False,railway,stop,manual_review_required,No returned object passed every conservative automatic acceptance check.
Klampenborg,Denmark,"Klampenborg galopbane, Denmark",0,way:349379135,Klampenborg Galopbane,"Klampenborg Galopbane, Klampenborgvej, Ordrup, Klampenborg, Gentofte Municipality, Capital Region of Denmark, 2930, Denmark",True,True,False,True,False,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Klampenborg,Denmark,"Klampenborg galopbane, Denmark",1,node:3962594700,Klampenborg Galopbane,"Klampenborg Galopbane, Klampenborgvej, Ordrup, Klampenborg, Gentofte Municipality, Capital Region of Denmark, 2920, Denmark",True,True,False,False,False,False,amenity,events_venue,manual_review_required,No returned object passed every conservative automatic acceptance check.
Pardubice,Czech Republic,"Pardubice závodiště, Czechia",0,node:246568072,Pardubice závodiště,"Pardubice závodiště, 37, Dukla, Nové Jesenčany, Pardubice V, Pardubice, okres Pardubice, Pardubice Region, 530 02, Czechia",True,True,False,False,False,False,railway,halt,manual_review_required,No returned object passed every conservative automatic acceptance check.
Moulins,France,"Moulins hippodrome, France",0,way:321721619,Hippodrome des Gâteaux,"Hippodrome des Gâteaux, Avenue des Isles, La Rigollée, Avermes, Moulins, Allier, Auvergne-Rhône-Alpes, Metropolitan France, 03000, France",True,False,True,True,False,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Sunland Park,United States,"Sunland Park racetrack, United States",0,way:787321856,Sunland Park Racetrack & Casino,"Sunland Park Racetrack & Casino, 1200, Futurity Drive, Sunland Park, Doña Ana County, New Mexico, 88063, United States",True,True,True,True,True,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Sunland Park,United States,"Sunland Park racetrack, United States",1,way:786456269,The Hotel at Sunland Park Racetrack & Casino/West El Paso,"The Hotel at Sunland Park Racetrack & Casino/West El Paso, 1202, Futurity Drive, Sunland Park, Doña Ana County, New Mexico, 88063, United States",True,True,True,False,True,False,tourism,hotel,manual_review_required,No returned object passed every conservative automatic acceptance check.
Delta downs,United States,"Delta downs racetrack, United States",0,way:699912721,DELTA DOWNS RACETRACK CASINO HOTEL,"DELTA DOWNS RACETRACK CASINO HOTEL, State Route 3063, Vinton, Calcasieu Parish, Louisiana, 70668, United States",True,True,True,False,True,False,amenity,casino,manual_review_required,No returned object passed every conservative automatic acceptance check.
Cholet,France,"Cholet hippodrome, France",0,way:1294744362,Cholet Sud,"Cholet Sud, Avenue de l’Hippodrome, Cholet, Maine-et-Loire, Pays de la Loire, Metropolitan France, 49300, France",True,True,False,False,False,False,highway,rest_area,manual_review_required,No returned object passed every conservative automatic acceptance check.
Emerald Downs,United States,"Emerald Downs racetrack, United States",0,way:52595250,Emerald Downs Racetrack & Casino,"Emerald Downs Racetrack & Casino, 2300, Ron Crockett Drive Northwest, Meredith, Auburn, King County, Washington, 98001, United States",True,True,True,True,True,False,leisure,stadium,manual_review_required,No returned object passed every conservative automatic acceptance check.
Northam,Australia,"Northam racecourse, Australia",0,way:325810129,Northam Racecourse,"Northam Racecourse, Road Train Assembly Area, Western Australia, 6401, Australia",True,True,True,False,False,False,leisure,recreation_ground,manual_review_required,No returned object passed every conservative automatic acceptance check.
Chateaubriant,France,"Chateaubriant hippodrome, France",0,way:37893746,Hippodrome de la Métairie Neuve,"Hippodrome de la Métairie Neuve, D 41, Le Bois Neveu, Châteaubriant, Châteaubriant-Ancenis, Loire-Atlantique, Pays de la Loire, Metropolitan France, 44660, France",True,False,True,True,False,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Hawthorne,United States,"Hawthorne racecourse, United States",0,way:229425938,Hawthorne Racecourse,"Hawthorne Racecourse, 3501, South Laramie Avenue, Stickney, Stickney Township, Cook County, Illinois, 60804, United States",True,True,True,False,False,False,building,grandstand,manual_review_required,No returned object passed every conservative automatic acceptance check.
Durtal,France,"Durtal hippodrome, France",0,way:617495181,Déchèterie de Durtal,"Déchèterie de Durtal, Route de L'Hippodrome, Durtal, Angers, Maine-et-Loire, Pays de la Loire, Metropolitan France, 49430, France",True,True,False,False,False,False,amenity,recycling,manual_review_required,No returned object passed every conservative automatic acceptance check.
