strict_comparison_key,left_raw_trainer_label,right_raw_trainer_label,left_title,right_title,left_first_date,left_last_date,right_first_date,right_last_date,left_runner_rows,right_runner_rows,title_structure,title_sequence,chronology_status,transition_gap_days,identity_relationship,decision_basis,confidence,mapping_method,database_action
s mestries,Mlle S Mestries,Mme S Mestries,Mlle,Mme,2019-02-12,2021-06-07,2025-09-10,2025-09-10,6,1,two_titled_labels,mlle_then_mme,separate_active_periods,1556.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
s quere,Mlle S Quere,Mme S Quere,Mlle,Mme,2015-07-02,2023-12-22,2024-06-20,2025-11-14,105,12,two_titled_labels,mlle_then_mme,separate_active_periods,181.0,same_provisional_trainer,exact post-title name with a non-overlapping Mlle-to-Mme transition aligned to the source-wide January 2024 discontinuity,high_source_label_equivalence,bounded_2024_mlle_to_mme_source_transition,map_both_labels_to_same_provisional_trainer_identity
sacha coirre,Mlle Sacha Coirre,Mme Sacha Coirre,Mlle,Mme,2023-04-03,2023-09-09,2024-03-08,2026-03-03,5,16,two_titled_labels,mlle_then_mme,separate_active_periods,181.0,same_provisional_trainer,exact post-title name with a non-overlapping Mlle-to-Mme transition aligned to the source-wide January 2024 discontinuity,high_source_label_equivalence,bounded_2024_mlle_to_mme_source_transition,map_both_labels_to_same_provisional_trainer_identity
sara vermeersch,Mlle Sara Vermeersch,Mme Sara Vermeersch,Mlle,Mme,2023-01-21,2023-06-29,2024-02-29,2026-04-24,8,20,two_titled_labels,mlle_then_mme,separate_active_periods,245.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
sophie geffriaud,Mlle Sophie Geffriaud,Mme Sophie Geffriaud,Mlle,Mme,2022-09-29,2022-09-29,2024-02-09,2026-05-15,1,18,two_titled_labels,mlle_then_mme,separate_active_periods,498.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
stephanie nigge,Mlle Stephanie Nigge,Mme Stephanie Nigge,Mlle,Mme,2020-02-20,2023-12-30,2024-01-05,2026-05-12,298,158,two_titled_labels,mlle_then_mme,separate_active_periods,6.0,same_provisional_trainer,exact post-title name with a non-overlapping Mlle-to-Mme transition aligned to the source-wide January 2024 discontinuity,high_source_label_equivalence,bounded_2024_mlle_to_mme_source_transition,map_both_labels_to_same_provisional_trainer_identity
stephanie penot,Mlle Stephanie Penot,Mme Stephanie Penot,Mlle,Mme,2018-01-15,2023-12-22,2024-01-06,2026-05-15,92,110,two_titled_labels,mlle_then_mme,separate_active_periods,15.0,same_provisional_trainer,exact post-title name with a non-overlapping Mlle-to-Mme transition aligned to the source-wide January 2024 discontinuity,high_source_label_equivalence,bounded_2024_mlle_to_mme_source_transition,map_both_labels_to_same_provisional_trainer_identity
t puitg,Mlle T Puitg,Mme T Puitg,Mlle,Mme,2015-02-05,2019-07-03,2026-02-13,2026-02-13,34,1,two_titled_labels,mlle_then_mme,separate_active_periods,2417.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
v dissaux,Mlle V Dissaux,Mme V Dissaux,Mlle,Mme,2015-01-03,2023-12-26,2024-01-05,2026-05-15,588,159,two_titled_labels,mlle_then_mme,separate_active_periods,10.0,same_provisional_trainer,exact post-title name with a non-overlapping Mlle-to-Mme transition aligned to the source-wide January 2024 discontinuity,high_source_label_equivalence,bounded_2024_mlle_to_mme_source_transition,map_both_labels_to_same_provisional_trainer_identity
v frison,Mlle V Frison,Mme V Frison,Mlle,Mme,2015-10-11,2023-06-10,2024-07-13,2025-08-16,7,2,two_titled_labels,mlle_then_mme,separate_active_periods,399.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
victoria head,Mlle Victoria Head,Mme Victoria Head,Mlle,Mme,2022-04-15,2023-12-29,2024-01-13,2026-05-22,74,306,two_titled_labels,mlle_then_mme,separate_active_periods,15.0,same_provisional_trainer,exact post-title name with a non-overlapping Mlle-to-Mme transition aligned to the source-wide January 2024 discontinuity,high_source_label_equivalence,bounded_2024_mlle_to_mme_source_transition,map_both_labels_to_same_provisional_trainer_identity
w szczesniak,W Szczesniak,Mme W Szczesniak,,Mme,2025-01-16,2025-01-16,2025-02-07,2026-05-19,1,20,titled_and_untitled,untitled_then_titled,separate_active_periods,22.0,unresolved,strict title-removal candidate only,low,,preserve_raw_unresolved
y vollmer,Mlle Y Vollmer,Mme Y Vollmer,Mlle,Mme,2015-04-15,2023-12-30,2024-01-06,2026-05-21,377,197,two_titled_labels,mlle_then_mme,separate_active_periods,7.0,same_provisional_trainer,exact post-title name with a non-overlapping Mlle-to-Mme transition aligned to the source-wide January 2024 discontinuity,high_source_label_equivalence,bounded_2024_mlle_to_mme_source_transition,map_both_labels_to_same_provisional_trainer_identity
